build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Night Elf,Alliance,606.2444624812075,18.64400180375406,0.26366600207777435,5000,0,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,High Order,Alliance,605.4619035534955,18.09884540235451,0.25595632631303683,5000,0,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Feral,Night Elf,Alliance,681.6638092945595,15.766230867733848,0.22296817520654538,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,421,0,050022-3521002023032213041-053
Feral,High Order,Alliance,681.902199878061,15.887217188211995,0.2246791801593635,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Elemental,Dwarf,Alliance,506.1369369017686,14.755989287302622,0.2086812017633547,5000,0.1306,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-052-05305
Stormcaller,Dwarf,Alliance,535.3206249712804,15.336623149495528,0.21689260459021747,5000,0.2742,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Enhancement,Dwarf,Alliance,743.9350330896642,38.973638230082265,0.5511704776000489,5000,0.020164564311599995,12.1,12.1,16,16,linear-v1,121,531,7.105427357601002e-15,420033152-053030031005102251
Beast Mastery,Human,Alliance,948.5961451002432,19.162389947394548,0.2709971175108723,5000,0.006146135396200001,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Dwarf,Alliance,923.8070746419633,18.331615149348487,0.2592481876441272,5000,0.0169887743462,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Night Elf,Alliance,937.6898404780891,18.617539545455944,0.26329176923201225,5000,0.016784873775200004,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,High Order,Alliance,950.0254497491552,20.897492682724746,0.29553517571501847,5000,0.0005946120896,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Marksmanship,Human,Alliance,810.7730801132117,27.176886262915332,0.3843392113608592,5000,1.672807381103397,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5-0050552011523051-50005001
Marksmanship,Dwarf,Alliance,791.5259996027474,26.31794510931347,0.37219194907381775,5000,2.157307711470401,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5-0050552011523051-50005001
Marksmanship,Night Elf,Alliance,806.9371396051218,26.871411076849693,0.3800191398498345,5000,2.0587528990017994,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5-0050552011523051-50005001
Marksmanship,High Order,Alliance,813.1280575260303,27.74541390154638,0.392379406332219,5000,1.3074153166878038,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5-0050552011523051-50005001
Survival,Human,Alliance,920.6240233270155,32.45945536930601,0.45904602010516743,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,465,0,502-0050051-230230230250022151
Survival,Dwarf,Alliance,896.7656307771625,31.5705628051495,0.44647518090794003,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,460,2.7755575615628914e-17,502-0050051-230230230250022151
Survival,Night Elf,Alliance,912.1092496675948,32.14832357476996,0.45464595206998376,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,465,0,502-0050051-230230230250022151
Survival,High Order,Alliance,896.8953358735181,30.77635282251815,0.4352433556198465,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,460,2.7755575615628914e-17,502-0050051-230230230250022151
Arcane,Human,Alliance,691.8334106083548,34.933358438947614,0.49403229283600325,5000,0.04065,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,053005023100311531-03-005500032
Arcane,Gnome,Alliance,699.3711004019618,34.79150622389882,0.4920261995722566,5000,0.0236,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,053005023100311531-03-005500032
Arcane,High Order,Alliance,694.7698107708565,35.625144511985106,0.5038156253035078,5000,0.08198514856559998,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,053005023100311531-03-005500032
Fire,Human,Alliance,685.6973443180194,31.215264524298366,0.4414505044332649,5000,2.1341900000000016,3.0999999999999996,3.0999999999999996,13,13,linear-v1,30.999999999999996,489.57142857142856,-8.881784197001252e-16,0501252000002-23450000130133051-003
Fire,Gnome,Alliance,687.8860532659585,31.07224346581801,0.43942788122718607,5000,1.6288900000000008,4.1,4.1,13,13,linear-v1,41,487.57142857142856,-5.329070518200751e-15,0501252000002-23450000130133051-003
Fire,High Order,Alliance,681.581847525812,28.829545193730954,0.4077113381002239,5000,1.0118368570827956,4.1,4.1,13,13,linear-v1,41,487.57142857142856,-5.329070518200751e-15,0501252000002-23450000130133051-003
Frost,Human,Alliance,676.8672659505513,28.761338256864928,0.4067467463485853,5000,0.1184,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,050005001-03-0555003321001301251
Frost,Gnome,Alliance,683.3131433423705,29.54384050339678,0.41781299924491294,5000,0.0405,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,050005001-03-0555003321001301251
Frost,High Order,Alliance,683.7911500634896,28.821307408916113,0.4075948382301333,5000,0.15519515075440005,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,050005001-03-0555003321001301251
Retribution,Human,Alliance,1133.3995750254594,43.01352344269869,0.6083030821811755,5000,0.2183580800603999,8.1,8.1,16,16,linear-v1,81,482.42857142857144,7.105427357601002e-15,253003-232-052052310012330301
Retribution,Dwarf,Alliance,1143.5532409560572,42.27728834130858,0.5978911455263651,5000,0.06950176266440003,8.1,8.1,16,16,linear-v1,81,505,1.4210854715202004e-14,253003-232-052052310012330301
Shadow,Human,Alliance,803.9436078732587,16.041664363023582,0.22686339305225106,5000,0,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,479.57142857142856,-1.7763568394002505e-15,305030001303--504020501201302251
Shadow,Dwarf,Alliance,803.9646269257819,16.028076645036965,0.2266712337016673,5000,0,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,479.57142857142856,-1.7763568394002505e-15,305030001303--504020501201302251
