build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,442.36185395452594,13.403818923519092,0.18955862509233837,5000,0.032628181930200006,6.1,6.1,16,16,linear-v1,61,349.71428571428567,-8.881784197001252e-15,5432200115501351--505003
Balance,Windshaper,Horde,439.8566139183428,13.441232711124622,0.19008773595085324,5000,0.03400025223260001,7.1,7.1,16,16,linear-v1,71,349.71428571428567,-1.7763568394002505e-15,5432200115501351--505003
Balance,Night Elf,Alliance,442.00312720867515,13.583155703840614,0.1920948301619686,5000,0.032906363751400006,7.1,7.1,16,16,linear-v1,71,349.71428571428567,-1.7763568394002505e-15,5432200115501351--505003
Balance,High Order,Alliance,439.8566139183428,13.441232711124622,0.19008773595085324,5000,0.03400025223260001,7.1,7.1,16,16,linear-v1,71,349.71428571428567,-1.7763568394002505e-15,5432200115501351--505003
Feral,Tauren,Horde,523.2532856497854,13.25589949901521,0.18746672852962026,5000,0,4.1,4.1,9,9,linear-v1,41,340,3.552713678800501e-15,05002-3521002023032213041-055
Feral,Windshaper,Horde,521.8361926131118,13.475095386627528,0.19056662650039774,5000,0,5.1,5.1,9,9,linear-v1,51,340,7.105427357601002e-15,05002-3521002023032213041-055
Feral,Night Elf,Alliance,523.3748515318738,13.249069047335452,0.18737013135559377,5000,0,5.1,5.1,9,9,linear-v1,51,340,7.105427357601002e-15,05002-3521002023032213041-055
Feral,High Order,Alliance,521.8361926131118,13.475095386627528,0.19056662650039774,5000,0,5.1,5.1,9,9,linear-v1,51,340,7.105427357601002e-15,05002-3521002023032213041-055
Elemental,Orc,Horde,395.6000565729503,12.070472215896661,0.17070225511968684,5000,0.5986,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Tauren,Horde,395.9355115520122,12.102984106804433,0.17116204269028848,5000,0.6002,2.0999999999999996,2.0999999999999996,16,16,linear-v1,20.999999999999996,379.42857142857144,4.440892098500626e-16,5502301500123031-0500001-053050001
Elemental,Troll,Horde,393.45424786618963,11.90347723496947,0.16834058945093214,5000,0.6684709092824023,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Windshaper,Horde,394.1059389752068,12.247058024130833,0.17319955556896063,5000,0.6646697167172047,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Dwarf,Alliance,395.4716160734078,12.096373341466228,0.1710685523502989,5000,0.6123,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
