build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,458.37079631035067,14.435566241475408,0.20414973559229727,5000,0.023332727320399982,2.0999999999999996,2.0999999999999996,16,16,linear-v1,20.999999999999996,349.71428571428567,0,5232220115501351--505003
Balance,Windshaper,Horde,455.9790677654029,14.463695897930593,0.20454754900893546,5000,0.029820801198999977,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Balance,Night Elf,Alliance,458.2606912467614,14.50011655454173,0.2050626148742355,5000,0.028102727384400002,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Balance,High Order,Alliance,455.9790677654029,14.463695897930593,0.20454754900893546,5000,0.029820801198999977,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Feral,Tauren,Horde,537.8043138016315,13.465436324305115,0.1904300267310361,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,340,0,050022-3521002023032213041-053
Feral,Windshaper,Horde,538.6848831861773,13.286524590932144,0.18789983273299876,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Feral,Night Elf,Alliance,537.8411756050159,13.400175784349592,0.1895071033241072,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Feral,High Order,Alliance,538.6848831861773,13.286524590932144,0.18789983273299876,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Elemental,Orc,Horde,395.3967101837215,12.04362046826883,0.17032251406299986,5000,0.5868,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Tauren,Horde,395.79584336018775,12.026526187667445,0.17008076442834494,5000,0.5934,2.0999999999999996,2.0999999999999996,16,16,linear-v1,20.999999999999996,379.42857142857144,4.440892098500626e-16,5502301500123031-0500001-053050001
Elemental,Troll,Horde,393.4761763460845,12.34992062418791,0.1746542524095774,5000,0.6610318183720029,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Windshaper,Horde,393.8452077755272,11.935174883206114,0.16878886189124806,5000,0.6275665482350058,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Dwarf,Alliance,395.2161306325972,12.110057159734318,0.17126207076409675,5000,0.6507,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Stormcaller,Orc,Horde,413.711504965216,12.891026042427473,0.18230663862105698,5000,1.7339,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Tauren,Horde,414.0722464132452,12.904907681466188,0.18250295464302216,5000,1.7054,7.1,7.1,16,16,linear-v1,71,379.42857142857144,5.329070518200751e-15,550032150010303-055030031004002
Stormcaller,Troll,Horde,411.4156649695262,13.113833432964988,0.1854576109560081,5000,1.711477272741185,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Windshaper,Horde,413.2327245061194,12.910425427242028,0.18258098735212136,5000,1.735910991229013,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Dwarf,Alliance,414.15866864469143,13.002182188626007,0.1838786239160079,5000,1.6999,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Enhancement,Orc,Horde,571.0506021273675,33.85654443977127,0.4788038432181193,5000,49.70084765518688,11.1,11.1,16,16,linear-v1,111,343,7.105427357601002e-15,05043305-055030031005102051
Enhancement,Tauren,Horde,562.9365826052336,32.958324377871016,0.4661010932827699,5000,50.027205614080835,10.1,10.1,16,16,linear-v1,101,343,3.552713678800501e-15,05043305-055030031005102051
Enhancement,Troll,Horde,563.8009962230459,32.86902525595134,0.4648382129895018,5000,49.8620186071465,11.1,11.1,16,16,linear-v1,111,343,7.105427357601002e-15,05043305-055030031005102051
Enhancement,Windshaper,Horde,564.627682867625,32.56842645650297,0.4605871039993722,5000,49.08367327324794,11.1,11.1,16,16,linear-v1,111,343,7.105427357601002e-15,05043305-055030031005102051
Enhancement,Dwarf,Alliance,560.2112178243684,32.84701224416562,0.4645269019913413,5000,49.60821843202625,11.1,11.1,16,16,linear-v1,111,343,7.105427357601002e-15,05043305-055030031005102051
Beast Mastery,Orc,Horde,772.0027033487609,18.36822124600883,0.25976587602775314,5000,0.8905574237124,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Tauren,Horde,770.1106396234408,18.113052503712677,0.2561572450672641,5000,1.0266893196992,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,356,-2.6645352591003757e-15,5320001505101251-00531510005
Beast Mastery,Troll,Horde,771.9354640184941,18.221046199240316,0.2576845065559239,5000,0.948201932539398,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Windshaper,Horde,773.1502348162261,17.994260182472466,0.25447726794922726,5000,0.6899191471555988,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Human,Alliance,769.431690668604,18.1217183109143,0.25627979808799856,5000,0.5860167553684001,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Dwarf,Alliance,767.2513115895557,17.997190560172367,0.254518709748088,5000,0.9061429860890005,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Night Elf,Alliance,777.907768848963,18.53722646482736,0.26215597075340313,5000,0.8099643542002006,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,High Order,Alliance,773.1502348162261,17.994260182472466,0.25447726794922726,5000,0.6899191471555988,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Marksmanship,Orc,Horde,732.6445772558068,18.828806987567933,0.2662795420512387,5000,2.083906077164997,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
Marksmanship,Tauren,Horde,730.3481298517677,18.8367319518875,0.26639161797145927,5000,2.3462008456135974,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,356,-2.6645352591003757e-15,5023000503-0053451001503051
Marksmanship,Troll,Horde,732.5008222987024,18.918766355157942,0.2675517596283217,5000,2.2407019585157952,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
Marksmanship,Windshaper,Horde,733.673191255288,18.769036979191657,0.2654342664865499,5000,1.7166009400485986,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
Marksmanship,Human,Alliance,729.690036894227,18.737711010846876,0.26499125039367327,5000,1.7485951767966001,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
Marksmanship,Dwarf,Alliance,727.5582863238691,18.684245321346456,0.26423513136154203,5000,1.9319280338559972,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
Marksmanship,Night Elf,Alliance,738.7331832081218,19.190313809520923,0.2713920205562018,5000,1.8129911130429976,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
Marksmanship,High Order,Alliance,733.673191255288,18.769036979191657,0.2654342664865499,5000,1.7166009400485986,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
