build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,660.7123534491842,21.634344528577444,0.3059558344536638,5000,0,0,0,16.4,16.4,equipped-only-v2,0,0,0,5232220115501351--505003
Balance,Windshaper,Horde,664.4718108437928,21.79692802951633,0.30825511237412256,5000,0,0,0,16.2,16.2,equipped-only-v2,0,0,0,5232220115501351--505003
Balance,Night Elf,Alliance,664.2029006028555,21.81161185987326,0.3084627730945061,5000,0,0,0,16.2,16.2,equipped-only-v2,0,0,0,5232220115501351--505003
Balance,High Order,Alliance,664.4718108437928,21.79692802951633,0.30825511237412256,5000,0,0,0,16.2,16.2,equipped-only-v2,0,0,0,5232220115501351--505003
Feral,Tauren,Horde,715.9542091466435,16.80993764424042,0.23772841799130837,5000,0,0,0,24.000000000000007,24.000000000000007,equipped-only-v2,0,0,0,050022-3521002023032213041-053
Feral,Windshaper,Horde,720.8995353378018,17.404817014755487,0.24614128272889213,5000,0,0,0,23.000000000000007,23.000000000000007,equipped-only-v2,0,0,0,050022-3521002023032213041-053
Feral,Night Elf,Alliance,722.4821698828788,18.44224134396423,0.2608126782919203,5000,0,0,0,23.000000000000007,23.000000000000007,equipped-only-v2,0,0,0,050022-3521002023032213041-053
Feral,High Order,Alliance,720.8995353378018,17.404817014755487,0.24614128272889213,5000,0,0,0,23.000000000000007,23.000000000000007,equipped-only-v2,0,0,0,050022-3521002023032213041-053
Elemental,Orc,Horde,545.9463932597416,16.591635031625415,0.23464115283669218,5000,0.3412,0,0,16.4,16.4,equipped-only-v2,0,0,0,5502301300123051-052-05305
Elemental,Tauren,Horde,540.8200888561122,16.28050958444165,0.2302411745666254,5000,0.3414,0,0,17.4,17.4,equipped-only-v2,0,0,0,5502301300123051-052-05305
Elemental,Troll,Horde,543.1562162627914,16.544277812941278,0.23397142062729842,5000,0.3341554548407993,0,0,16.4,16.4,equipped-only-v2,0,0,0,5502301300123051-052-05305
Elemental,Windshaper,Horde,544.5947649559442,16.613229470076437,0.23494654431398482,5000,0.3465469407590026,0,0,16.4,16.4,equipped-only-v2,0,0,0,5502301300123051-052-05305
Elemental,Dwarf,Alliance,542.0057650122782,16.45285920746475,0.23267856631011702,5000,0.3395,0,0,16.4,16.4,equipped-only-v2,0,0,0,5502301300123051-052-05305
Stormcaller,Orc,Horde,549.3612174793227,15.103614513487582,0.21359736485829253,5000,0.2693,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,550133130010304-054030031004002
Stormcaller,Tauren,Horde,548.341658918457,15.189806356107217,0.21481630158627868,5000,0.3077,0,0,16.1,16.1,equipped-only-v2,0,0,0,550133130010304-054030031004002
Stormcaller,Troll,Horde,546.4416882918154,15.08839711605884,0.21338215836001503,5000,0.2704645454645998,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,550133130010304-054030031004002
Stormcaller,Windshaper,Horde,547.3586718370497,15.085681111760046,0.21334374825886687,5000,0.3604422775299985,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,550133130010304-054030031004002
