build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,661.4153592248737,21.79943579784754,0.30829057757397543,5000,0,0,0,16.4,16.4,equipped-only-v2,0,0,0,5232220115501351--505003
Balance,Windshaper,Horde,664.6807082769283,21.647198880222394,0.30613762243798187,5000,0,0,0,16.2,16.2,equipped-only-v2,0,0,0,5232220115501351--505003
Balance,Night Elf,Alliance,664.4407165420575,21.88017919094417,0.30943246158986815,5000,0,0,0,16.2,16.2,equipped-only-v2,0,0,0,5232220115501351--505003
Balance,High Order,Alliance,664.6807082769283,21.647198880222394,0.30613762243798187,5000,0,0,0,16.2,16.2,equipped-only-v2,0,0,0,5232220115501351--505003
Feral,Tauren,Horde,711.8761855457549,16.656673745659624,0.235560939151357,5000,0,0,0,24.000000000000007,24.000000000000007,equipped-only-v2,0,0,0,050022-3521002023032213041-053
Feral,Windshaper,Horde,718.6057793976731,16.950346085610782,0.2397140932118847,5000,0,0,0,23.000000000000007,23.000000000000007,equipped-only-v2,0,0,0,050022-3521002023032213041-053
Feral,Night Elf,Alliance,715.9675098770063,17.669988528865264,0.2498913742449827,5000,0,0,0,23.000000000000007,23.000000000000007,equipped-only-v2,0,0,0,050022-3521002023032213041-053
Feral,High Order,Alliance,718.6057793976731,16.950346085610782,0.2397140932118847,5000,0,0,0,23.000000000000007,23.000000000000007,equipped-only-v2,0,0,0,050022-3521002023032213041-053
Elemental,Orc,Horde,545.5903531557268,16.55184557901656,0.23407844500150374,5000,0.3453,0,0,16.4,16.4,equipped-only-v2,0,0,0,5502301300123051-052-05305
Elemental,Tauren,Horde,540.2859513229913,16.436950527197155,0.2324535835961781,5000,0.3403,0,0,17.4,17.4,equipped-only-v2,0,0,0,5502301300123051-052-05305
Elemental,Troll,Horde,542.9166557940022,16.74660147844583,0.23683270934475414,5000,0.3417909093977997,0,0,16.4,16.4,equipped-only-v2,0,0,0,5502301300123051-052-05305
Elemental,Windshaper,Horde,544.8528184536721,16.328153418516294,0.23091496012974358,5000,0.35647119919560205,0,0,16.4,16.4,equipped-only-v2,0,0,0,5502301300123051-052-05305
Elemental,Dwarf,Alliance,541.5702951357307,16.534695549158332,0.23383590695329765,5000,0.3502,0,0,16.4,16.4,equipped-only-v2,0,0,0,5502301300123051-052-05305
Stormcaller,Orc,Horde,549.6172022641937,15.42206102645958,0.21810087863364674,5000,0.2757,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,550133130010304-054030031004002
Stormcaller,Tauren,Horde,548.634585003918,15.442382572831882,0.21838826869852776,5000,0.2855,0,0,16.1,16.1,equipped-only-v2,0,0,0,550133130010304-054030031004002
Stormcaller,Troll,Horde,546.3140817235491,15.056463994289745,0.2129305558210674,5000,0.2857154545533999,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,550133130010304-054030031004002
Stormcaller,Windshaper,Horde,547.1625875640966,15.37122802323932,0.21738199140794426,5000,0.35909653490819876,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,550133130010304-054030031004002
Stormcaller,Dwarf,Alliance,545.3763120341409,15.354873356890755,0.217150701498362,5000,0.2802,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,550133130010304-054030031004002
Enhancement,Orc,Horde,805.2866319685381,41.72932968459294,0.5901418398868953,5000,0.04319251163119999,0,0,15.600000000000003,15.600000000000003,equipped-only-v2,0,0,0,550133102-053030031005102251
Enhancement,Tauren,Horde,798.804362878388,40.72902215161834,0.5759953550901287,5000,0.006982228241200001,0,0,15.000000000000002,15.000000000000002,equipped-only-v2,0,0,0,550133102-053030031005102251
Enhancement,Troll,Horde,803.9105818047574,42.16651934172639,0.5963246353113689,5000,0.006180376466399998,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,550133102-053030031005102251
Enhancement,Windshaper,Horde,804.565659765726,41.08146211453304,0.5809796088448911,5000,0.009315453284200002,0,0,14.600000000000001,14.600000000000001,equipped-only-v2,0,0,0,550133102-053030031005102251
Enhancement,Dwarf,Alliance,808.1331376150702,42.539856389349794,0.6016044184722223,5000,0.011677975734399998,0,0,16.700000000000003,16.700000000000003,equipped-only-v2,0,0,0,550133102-053030031005102251
Beast Mastery,Orc,Horde,993.2439363928113,20.122072189764182,0.2845690739381499,5000,1.238041653230202,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,Tauren,Horde,990.3406967611451,21.740150841010216,0.30745216167393496,5000,0.7243441151212008,0,0,24.400000000000002,24.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,Troll,Horde,997.4023746051885,22.037893320937876,0.3116628762060179,5000,0.7424538395533994,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,Windshaper,Horde,999.5883584263916,22.086286544297668,0.3123472597340416,5000,0.5934623218716006,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,Human,Alliance,997.4394721468954,20.196609266725257,0.2856231873895299,5000,0.8857670161414007,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,Dwarf,Alliance,991.9018943270363,21.848738722434643,0.3089878262201328,5000,0.6268094050954007,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,Night Elf,Alliance,1004.9462589931182,22.174572911056366,0.31359581750646953,5000,0.5607779743346005,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,High Order,Alliance,999.5883584263916,22.086286544297668,0.3123472597340416,5000,0.5934623218716006,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Marksmanship,Orc,Horde,827.4373452613819,27.38465192703783,0.3872774615608341,5000,3.7104630366593883,0,0,21.3,21.3,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,Tauren,Horde,812.2808466107476,26.727773841941048,0.37798780259313874,5000,3.4928369371887915,0,0,21.8,21.8,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,Troll,Horde,834.4963594378448,28.731014684739797,0.4063179062789957,5000,3.1023795159391967,0,0,21.3,21.3,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,Windshaper,Horde,834.6695293641633,28.477844648751947,0.4027375412941907,5000,2.9523861394648,0,0,20.8,20.8,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,Human,Alliance,830.8657474047855,27.55970907389056,0.3897531434735288,5000,1.6732514275758017,0,0,19,19,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,Dwarf,Alliance,813.1769682934785,26.77645351980741,0.3786762371996444,5000,2.144692102317596,0,0,19,19,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,Night Elf,Alliance,826.5357259284812,27.345365731933725,0.3867218708615315,5000,4.430431287378604,0,0,21.3,21.3,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,High Order,Alliance,834.6695293641633,28.477844648751947,0.4027375412941907,5000,2.9523861394648,0,0,20.8,20.8,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Survival,Orc,Horde,1035.0906039812687,31.41464845122927,0.44427021896911373,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,Tauren,Horde,1019.5290524647288,31.319788951092164,0.4429287030529755,5000,0,0,0,27.400000000000002,27.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,Troll,Horde,1022.6493688014424,31.566660336797774,0.44641999167124263,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,Windshaper,Horde,1021.5533361493608,30.649509642612117,0.43344952216667004,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,Human,Alliance,1036.5818680649681,31.471928887198573,0.44508028666317806,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,Dwarf,Alliance,1015.967491415638,30.832787856466535,0.4360414675238744,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,Night Elf,Alliance,1030.2917068285715,31.24349544199574,0.44184974990012355,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,High Order,Alliance,1021.5533361493608,30.649509642612117,0.43344952216667004,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
