build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,603.8709731844687,18.362890886679846,0.25969049336319944,5000,0,5.1,5.1,16,16,linear-v1,51,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,Windshaper,Horde,603.2758735688532,18.288230002479335,0.2586346290130482,5000,0,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,Night Elf,Alliance,604.0765226884831,18.37065114735111,0.259800240022088,5000,0,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,High Order,Alliance,603.2758735688532,18.288230002479335,0.2586346290130482,5000,0,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Feral,Tauren,Horde,677.8809574721446,14.701229653455004,0.20790678359477582,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,407,-5.551115123125783e-17,050022-3521002023032213041-053
Feral,Windshaper,Horde,679.9357012570505,14.604735250313242,0.20654214665861406,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Feral,Night Elf,Alliance,679.0687564393905,14.803324054259999,0.20935061645738362,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,421,0,050022-3521002023032213041-053
Feral,High Order,Alliance,679.9357012570505,14.604735250313242,0.20654214665861406,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Elemental,Orc,Horde,510.5825862127912,14.700454063838317,0.20789581510122826,5000,0.116,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-052-05305
Elemental,Tauren,Horde,510.15580118318724,14.703027831405924,0.20793221367123332,5000,0.1162,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,512.4285714285714,3.552713678800501e-15,5502301500123031-052-05305
Elemental,Troll,Horde,508.40250943223515,14.615406121593647,0.2066930555674849,5000,0.1104990909792,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-052-05305
Elemental,Windshaper,Horde,507.858272540312,14.593779314326783,0.20638720632600863,5000,0.11423931202840024,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-052-05305
Elemental,Dwarf,Alliance,505.84207464599274,14.548229690062483,0.2057430373620529,5000,0.1288,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-052-05305
Stormcaller,Orc,Horde,539.7510001335967,15.232076607471631,0.21541409321392344,5000,0.2972,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Tauren,Horde,538.7253154171144,15.4336802828069,0.21826519973275743,5000,0.2889,7.1,7.1,16,16,linear-v1,71,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Troll,Horde,535.5612693261527,15.400070728502245,0.21778988885752784,5000,0.26441090909320025,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Windshaper,Horde,535.6078099686056,15.282611424984214,0.21612876345690687,5000,0.26459396057440043,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Dwarf,Alliance,535.3164290403452,15.243224016341632,0.21557174138201615,5000,0.2841,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Enhancement,Orc,Horde,738.448950343542,40.12294704628763,0.5674241587523747,5000,0.045959999999999994,12.1,12.1,16,16,linear-v1,121,499,1.4210854715202004e-14,420033152-053030031005102251
Enhancement,Tauren,Horde,738.0235229055587,39.67115666342345,0.5610348778844123,5000,0.008530000000000001,12,12,16,16,linear-v1,120,536,0,420033152-053030031005102251
Enhancement,Troll,Horde,732.2181522388677,38.83754400220945,0.5492458145718645,5000,0.02045000000000001,12.1,12.1,16,16,linear-v1,121,517.8571428571429,1.4210854715202004e-14,420033152-053030031005102251
Enhancement,Windshaper,Horde,731.1809099405555,40.079295824900434,0.5668068372593755,5000,0.02184999999999999,13,13,16,16,linear-v1,130,527,3.552713678800501e-15,420033152-053030031005102251
Enhancement,Dwarf,Alliance,739.5325205041361,39.123663301018496,0.5532921525001889,5000,0.021970000000000003,12.1,12.1,16,16,linear-v1,121,531,7.105427357601002e-15,420033152-053030031005102251
Beast Mastery,Orc,Horde,882.9079999916391,20.981387527105827,0.29672162798238755,5000,0.00284,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
