build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Night Elf,Alliance,606.1512170674835,18.689435136365297,0.26430852642940056,5000,0,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,High Order,Alliance,605.2416215155475,18.39016409989402,0.26007619484336925,5000,0,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Feral,Night Elf,Alliance,679.5516906301094,14.612796792986854,0.20665615408844076,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,421,0,050022-3521002023032213041-053
Feral,High Order,Alliance,680.0180781249725,14.412366812477826,0.20382164612102036,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Elemental,Dwarf,Alliance,505.91264408373144,14.759637111724258,0.20873278979105703,5000,0.1273,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-052-05305
Stormcaller,Dwarf,Alliance,535.234485510494,15.28596963962065,0.21617625578374894,5000,0.3072,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Enhancement,Dwarf,Alliance,743.194435055679,39.69076782622465,0.5613122216084858,5000,0.021906065258000002,12.1,12.1,16,16,linear-v1,121,531,7.105427357601002e-15,420033152-053030031005102251
Beast Mastery,Human,Alliance,885.256930035034,20.900146348300925,0.29557270421349685,5000,0.0001,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Dwarf,Alliance,871.9934960202763,20.670212865497138,0.29232095371524885,5000,0.00198,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Night Elf,Alliance,883.2818699929131,21.158634843521916,0.29922828357008624,5000,0.0024400000000000003,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
