party,slot,name,role,dps,chance_of_death
1,1,Protection Paladin Undead,Tank,390.600,0
1,2,Restoration Shaman Tauren,Healer,0.000,0
1,3,Fire P1 Undead,DPS,1158.256,0
1,4,Retribution 10/0/41 Undead,DPS,1180.229,0
1,5,Retribution 10/0/41 #2 Undead,DPS,1180.225,0
2,1,Feral Tank Tauren,Tank,333.143,0
2,2,Restoration Shaman #2 Tauren,Healer,0.000,0
2,3,Retribution 10/0/41 #3 Undead,DPS,1189.704,0
2,4,Retribution 10/0/41 #4 Undead,DPS,1189.824,0
2,5,Retribution 10/0/41 #5 Undead,DPS,1189.586,0
3,1,Restoration Shaman #3 Tauren,Healer,0.000,0
3,2,Retribution 10/0/41 #6 Undead,DPS,1180.747,0
3,3,Retribution 10/0/41 #7 Undead,DPS,1180.471,0
3,4,Retribution 10/0/41 #8 Undead,DPS,1180.032,0
3,5,Retribution 10/0/41 #9 Undead,DPS,1180.336,0
4,1,Restoration Shaman #4 Tauren,Healer,0.000,0
4,2,Retribution 10/0/41 #10 Undead,DPS,1179.272,0
4,3,Retribution 10/0/41 #11 Undead,DPS,1180.675,0
4,4,Retribution 10/0/41 #12 Undead,DPS,1180.553,0
4,5,Retribution 10/0/41 #13 Undead,DPS,1180.466,0
