candidate,iterations,duration_seconds,raid_dps,tank_dps,healer_dps
Fire/Resto-WF 1Fire all,3000,300,16530.413,723.814,0.000
Fire/Resto-WF 2Fire all,3000,300,16510.238,723.724,0.000
Fire/Resto-WF all,3000,300,16502.918,653.864,0.000
Fire/Resto-WF 3Fire all,3000,300,16481.161,710.173,0.000
Fire/Resto-WF/Enh/Ret max,3000,300,16284.670,652.723,0.000
Fire/Resto-WF/Enh/Fury/Ret max,3000,300,16266.354,656.217,0.000
Fire/Enh/Ret hybrid,3000,300,16206.669,678.719,0.000
Fire/Resto-WF 0Fire all,3000,300,16169.911,722.724,0.000
Resto-WF all Ret,3000,300,16161.527,723.627,0.000
Fire/Enh/Fury/Ret max,3000,300,16127.797,677.999,0.000
Fire/Enh/Ret max,3000,300,16123.861,677.322,0.000
Fire/Enh/Ret hybrid warrior,3000,300,16107.062,684.756,0.000
Fire/Enh/Fury max,3000,300,16065.628,677.735,0.000
Fire/Enh/Ret all,3000,300,15823.838,750.002,0.000
