build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,605.6715507456656,18.416898490899758,0.26045427622679024,5000,0,5.1,5.1,16,16,linear-v1,51,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,Windshaper,Horde,605.4619035534955,18.09884540235451,0.25595632631303683,5000,0,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Feral,Tauren,Horde,680.070152781266,15.806583044779224,0.22353884116703387,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,407,-5.551115123125783e-17,050022-3521002023032213041-053
Feral,Windshaper,Horde,681.902199878061,15.887217188211995,0.2246791801593635,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Elemental,Orc,Horde,510.5680299603049,14.883535112548545,0.21048497212222322,5000,0.1277,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-052-05305
Elemental,Tauren,Horde,510.2338504088679,14.857773842069413,0.2101206527412677,5000,0.1299,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,512.4285714285714,3.552713678800501e-15,5502301500123031-052-05305
Elemental,Troll,Horde,508.67086248701736,14.799821115094385,0.20930107741662182,5000,0.11087181833140036,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-052-05305
Elemental,Windshaper,Horde,508.3874667469464,14.816309932404481,0.20953426450729612,5000,0.12500733134640007,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-052-05305
Stormcaller,Orc,Horde,539.7855101964576,15.646768205990382,0.2212787180421974,5000,0.2927,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Tauren,Horde,538.7931550265332,15.440672144377807,0.21836407958735554,5000,0.2749,7.1,7.1,16,16,linear-v1,71,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Troll,Horde,536.407568918663,15.323643042771096,0.21670903816051004,5000,0.2860500000126001,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Windshaper,Horde,537.2425551732244,15.270885045766914,0.2159629274116405,5000,0.3410160400783991,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Enhancement,Orc,Horde,738.6884481681249,40.17332774971038,0.5681366494929984,5000,0.055645636119999994,12.1,12.1,16,16,linear-v1,121,499,1.4210854715202004e-14,420033152-053030031005102251
Enhancement,Tauren,Horde,737.1016206855313,39.10788996567724,0.5530690838525543,5000,0.007577299925200001,12,12,16,16,linear-v1,120,536,0,420033152-053030031005102251
Enhancement,Troll,Horde,731.0558539937011,39.40062082254326,0.5572089233316044,5000,0.02240252951039999,12.1,12.1,16,16,linear-v1,121,517.8571428571429,1.4210854715202004e-14,420033152-053030031005102251
Enhancement,Windshaper,Horde,736.9913662056717,39.502541430086374,0.5586502983863323,5000,0.02550817350799999,13,13,16,16,linear-v1,130,527,3.552713678800501e-15,420033152-053030031005102251
Beast Mastery,Orc,Horde,944.5846857430803,19.096611539024266,0.2700668703385866,5000,0.0124324668446,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Tauren,Horde,926.7941208919285,18.26632452723858,0.25832483881129115,5000,0.019314830682799995,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5320001505101251-00531510005
