build,class,race,dps,stdev,iterations,spell_hit_bonus,melee_hit_bonus
"Balance Moonkin 38/5/8","ClassDruid","Tauren",466.719994,23.988366,5000,11.000000,3.600000
"Balance Moonkin 38/5/8","ClassDruid","Windshaper",472.149558,24.179885,5000,12.000000,4.600000
"Feral Cat 6/35/10","ClassDruid","Tauren",639.271917,24.754475,5000,11.000000,3.600000
"Feral Cat 6/35/10","ClassDruid","Windshaper",645.829407,25.000372,5000,12.000000,4.600000
"Elemental 31/6/14","ClassShaman","Orc",563.337024,17.991948,5000,11.000000,3.600000
"Elemental 31/6/14","ClassShaman","Troll",569.173518,19.214423,5000,11.000000,3.600000
"Elemental 31/6/14","ClassShaman","Tauren",566.487532,18.146166,5000,10.000000,2.600000
"Elemental 31/6/14","ClassShaman","Windshaper",574.398427,18.373206,5000,11.000000,3.600000
"Stormcaller 28/23/0","ClassShaman","Orc",591.072382,22.994597,5000,16.000000,8.600000
"Stormcaller 28/23/0","ClassShaman","Troll",595.482862,22.850695,5000,16.000000,8.600000
"Stormcaller 28/23/0","ClassShaman","Tauren",593.890367,22.779043,5000,15.000000,7.600000
"Stormcaller 28/23/0","ClassShaman","Windshaper",603.079365,22.665443,5000,16.000000,8.600000
"Enhancement 16/35/0","ClassShaman","Orc",1063.288043,64.062378,5000,16.000000,8.600000
"Enhancement 16/35/0","ClassShaman","Troll",1064.078388,63.882637,5000,16.000000,8.600000
"Enhancement 16/35/0","ClassShaman","Tauren",1049.305246,63.373381,5000,15.000000,7.600000
"Enhancement 16/35/0","ClassShaman","Windshaper",1073.514832,64.005820,5000,16.000000,8.600000
"Beast Mastery 35/16/0","ClassHunter","Orc",620.564794,22.652387,5000,16.000000,8.600000
"Beast Mastery 35/16/0","ClassHunter","Tauren",621.006995,22.173479,5000,15.000000,7.600000
"Beast Mastery 35/16/0","ClassHunter","Troll",626.846745,22.554522,5000,16.000000,8.600000
"Beast Mastery 35/16/0","ClassHunter","Windshaper",628.237637,22.178751,5000,16.000000,8.600000
"Marksmanship P1","ClassHunter","Orc",615.416405,25.222751,5000,16.000000,8.600000
"Marksmanship P1","ClassHunter","Tauren",615.192075,24.943449,5000,15.000000,7.600000
"Marksmanship P1","ClassHunter","Troll",622.920897,25.214870,5000,16.000000,8.600000
"Marksmanship P1","ClassHunter","Windshaper",622.784466,25.637426,5000,16.000000,8.600000
"Survival 0/31/20","ClassHunter","Orc",589.347287,23.363546,5000,13.000000,5.600000
"Survival 0/31/20","ClassHunter","Tauren",589.401621,23.204431,5000,12.000000,4.600000
"Survival 0/31/20","ClassHunter","Troll",594.398465,22.837995,5000,13.000000,5.600000
"Survival 0/31/20","ClassHunter","Windshaper",597.303553,23.112614,5000,13.000000,5.600000
"Arcane 35/0/16","ClassMage","Troll",747.133679,44.579141,5000,11.000000,8.600000
"Arcane 35/0/16","ClassMage","Undead",751.672710,45.491777,5000,11.000000,8.600000
"Arcane 35/0/16","ClassMage","Orc",733.469655,44.222754,5000,11.000000,8.600000
"Fire P1","ClassMage","Troll",1122.413848,55.082594,5000,11.000000,8.600000
"Fire P1","ClassMage","Undead",1132.366786,55.686537,5000,11.000000,8.600000
"Fire P1","ClassMage","Orc",1108.471412,54.749361,5000,11.000000,8.600000
"Frost 14/0/37","ClassMage","Troll",703.597616,35.516546,5000,11.000000,8.600000
"Frost 14/0/37","ClassMage","Undead",701.641390,35.997093,5000,11.000000,8.600000
"Frost 14/0/37","ClassMage","Orc",687.431030,34.858430,5000,11.000000,8.600000
"Retribution 10/0/41","ClassPaladin","Undead",1116.213730,53.969257,5000,16.000000,8.600000
"Shadow 15/0/36","ClassPriest","Troll",677.507325,23.377794,5000,11.000000,8.600000
"Shadow 15/0/36","ClassPriest","Undead",684.294197,23.923927,5000,11.000000,8.600000
"Smite 31/17/3","ClassPriest","Troll",450.421304,13.551493,5000,16.000000,8.600000
"Smite 31/17/3","ClassPriest","Undead",456.317931,13.931302,5000,16.000000,8.600000
"Combat Dual-Wield 15/33/3","ClassRogue","Orc",880.152879,32.273021,5000,13.000000,5.600000
"Combat Dual-Wield 15/33/3","ClassRogue","Troll",877.277881,32.484029,5000,13.000000,5.600000
"Combat Dual-Wield 15/33/3","ClassRogue","Undead",895.996390,33.063482,5000,13.000000,5.600000
"Combat Dual-Wield 15/33/3","ClassRogue","Windshaper",887.168338,33.377785,5000,13.000000,5.600000
"Assassination Mutilate 31/20/0","ClassRogue","Orc",828.905032,31.478687,5000,13.000000,5.200000
"Assassination Mutilate 31/20/0","ClassRogue","Troll",822.642364,31.546276,5000,13.000000,5.200000
"Assassination Mutilate 31/20/0","ClassRogue","Undead",845.488650,32.658508,5000,13.000000,5.200000
"Assassination Mutilate 31/20/0","ClassRogue","Windshaper",831.997215,32.463593,5000,13.000000,5.200000
"Subtlety Hemo 15/0/36","ClassRogue","Orc",770.496042,28.357966,5000,16.000000,8.200000
"Subtlety Hemo 15/0/36","ClassRogue","Troll",764.431101,28.138079,5000,16.000000,8.200000
"Subtlety Hemo 15/0/36","ClassRogue","Undead",786.308441,30.268126,5000,16.000000,8.200000
"Subtlety Hemo 15/0/36","ClassRogue","Windshaper",773.058198,28.611059,5000,16.000000,8.200000
"Demonic Pact 2/31/18","ClassWarlock","Orc",692.485144,33.015447,5000,15.000000,7.600000
"Demonic Pact 2/31/18","ClassWarlock","Troll",699.112815,33.500860,5000,15.000000,7.600000
"Demonic Pact 2/31/18","ClassWarlock","Undead",703.425386,33.662553,5000,15.000000,7.600000
"Deep Affliction 35/0/16","ClassWarlock","Orc",656.053048,30.638510,5000,11.000000,3.600000
"Deep Affliction 35/0/16","ClassWarlock","Troll",661.247053,30.703302,5000,11.000000,3.600000
"Deep Affliction 35/0/16","ClassWarlock","Undead",667.603159,31.157459,5000,11.000000,3.600000
"DS/Ruin Pandemic 24/11/16","ClassWarlock","Orc",591.979043,32.968929,5000,11.000000,3.600000
"DS/Ruin Pandemic 24/11/16","ClassWarlock","Troll",598.058132,32.567936,5000,11.000000,3.600000
"DS/Ruin Pandemic 24/11/16","ClassWarlock","Undead",605.580868,32.164600,5000,11.000000,3.600000
"Shadow and Flame 13/11/27","ClassWarlock","Orc",576.055411,33.142137,5000,6.000000,3.600000
"Shadow and Flame 13/11/27","ClassWarlock","Troll",579.043844,32.970726,5000,6.000000,3.600000
"Shadow and Flame 13/11/27","ClassWarlock","Undead",588.597433,34.735310,5000,6.000000,3.600000
"Fury P1","ClassWarrior","Orc",1275.365334,56.348654,5000,16.000000,5.600000
"Fury P1","ClassWarrior","Tauren",1275.818493,55.000964,5000,15.000000,4.600000
"Fury P1","ClassWarrior","Troll",1284.631310,55.600385,5000,16.000000,5.600000
"Fury P1","ClassWarrior","Undead",1313.711514,57.011607,5000,16.000000,5.600000
"Fury P1","ClassWarrior","Windshaper",1294.208144,56.817768,5000,16.000000,5.600000
"Arms 39/12/0","ClassWarrior","Orc",901.772334,71.289218,5000,16.000000,8.600000
"Arms 39/12/0","ClassWarrior","Tauren",901.402495,71.985736,5000,15.000000,7.600000
"Arms 39/12/0","ClassWarrior","Troll",902.795822,72.713515,5000,16.000000,8.600000
"Arms 39/12/0","ClassWarrior","Undead",912.427485,73.744466,5000,16.000000,8.600000
"Arms 39/12/0","ClassWarrior","Windshaper",912.581685,73.916184,5000,16.000000,8.600000
