build,class,race,dps,stdev,iterations,spell_hit_bonus,melee_hit_bonus
"Balance Moonkin 38/5/8","ClassDruid","Tauren",419.618528,12.467928,5000,11.000000,3.600000
"Balance Moonkin 38/5/8","ClassDruid","Windshaper",424.389382,12.883602,5000,12.000000,4.600000
"Feral Cat 6/35/10","ClassDruid","Tauren",637.869524,15.340609,5000,11.000000,3.600000
"Feral Cat 6/35/10","ClassDruid","Windshaper",643.033254,15.386551,5000,12.000000,4.600000
"Elemental 31/6/14","ClassShaman","Orc",504.038435,9.877569,5000,11.000000,3.600000
"Elemental 31/6/14","ClassShaman","Troll",508.559838,9.768095,5000,11.000000,3.600000
"Elemental 31/6/14","ClassShaman","Tauren",506.053683,9.839012,5000,10.000000,2.600000
"Elemental 31/6/14","ClassShaman","Windshaper",511.632299,9.951135,5000,11.000000,3.600000
"Stormcaller 28/23/0","ClassShaman","Orc",528.852111,10.392211,5000,16.000000,8.600000
"Stormcaller 28/23/0","ClassShaman","Troll",532.021484,10.402346,5000,16.000000,8.600000
"Stormcaller 28/23/0","ClassShaman","Tauren",530.488814,10.264178,5000,15.000000,7.600000
"Stormcaller 28/23/0","ClassShaman","Windshaper",538.071726,10.171403,5000,16.000000,8.600000
"Enhancement 16/35/0","ClassShaman","Orc",1049.079559,40.711107,5000,16.000000,8.600000
"Enhancement 16/35/0","ClassShaman","Troll",1047.137055,39.163329,5000,16.000000,8.600000
"Enhancement 16/35/0","ClassShaman","Tauren",1034.909791,39.854656,5000,15.000000,7.600000
"Enhancement 16/35/0","ClassShaman","Windshaper",1057.009822,40.006920,5000,16.000000,8.600000
"Beast Mastery 35/16/0","ClassHunter","Orc",615.370109,13.914902,5000,16.000000,8.600000
"Beast Mastery 35/16/0","ClassHunter","Tauren",614.768796,14.029426,5000,15.000000,7.600000
"Beast Mastery 35/16/0","ClassHunter","Troll",619.158219,14.112594,5000,16.000000,8.600000
"Beast Mastery 35/16/0","ClassHunter","Windshaper",621.318988,14.138096,5000,16.000000,8.600000
"Marksmanship P1","ClassHunter","Orc",603.243626,15.409114,5000,16.000000,8.600000
"Marksmanship P1","ClassHunter","Tauren",602.858475,15.316625,5000,15.000000,7.600000
"Marksmanship P1","ClassHunter","Troll",608.811159,15.607428,5000,16.000000,8.600000
"Marksmanship P1","ClassHunter","Windshaper",609.750214,15.775817,5000,16.000000,8.600000
"Survival 0/31/20","ClassHunter","Orc",579.346632,14.376498,5000,13.000000,5.600000
"Survival 0/31/20","ClassHunter","Tauren",580.022301,14.139026,5000,12.000000,4.600000
"Survival 0/31/20","ClassHunter","Troll",584.451072,14.399650,5000,13.000000,5.600000
"Survival 0/31/20","ClassHunter","Windshaper",587.909724,14.416064,5000,13.000000,5.600000
"Arcane 35/0/16","ClassMage","Troll",739.087301,31.695214,5000,11.000000,8.600000
"Arcane 35/0/16","ClassMage","Undead",746.525906,32.671836,5000,11.000000,8.600000
"Arcane 35/0/16","ClassMage","Orc",729.271637,32.042548,5000,11.000000,8.600000
"Fire P1","ClassMage","Troll",1155.509146,39.745682,5000,11.000000,8.600000
"Fire P1","ClassMage","Undead",1163.836010,38.807242,5000,11.000000,8.600000
"Fire P1","ClassMage","Orc",1143.052553,38.603895,5000,11.000000,8.600000
"Frost 14/0/37","ClassMage","Troll",707.405743,23.671246,5000,11.000000,8.600000
"Frost 14/0/37","ClassMage","Undead",707.402308,23.559970,5000,11.000000,8.600000
"Frost 14/0/37","ClassMage","Orc",694.712558,23.472319,5000,11.000000,8.600000
"Retribution 10/0/41","ClassPaladin","Undead",1099.152546,35.301874,5000,16.000000,8.600000
"Shadow 15/0/36","ClassPriest","Troll",684.058033,15.020977,5000,11.000000,8.600000
"Shadow 15/0/36","ClassPriest","Undead",690.863984,14.943392,5000,11.000000,8.600000
