build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,654.9217110648157,21.692814088688777,0.3067827189026182,5000,0,0,0,16.4,16.4,equipped-only-v2,0,0,0,5232220115501351--505003
Balance,Windshaper,Horde,657.8125870866004,21.698848881693532,0.3068680637637526,5000,0,0,0,16.2,16.2,equipped-only-v2,0,0,0,5232220115501351--505003
Balance,Night Elf,Alliance,658.1024440678946,21.771099552415734,0.3078898425480115,5000,0,0,0,16.2,16.2,equipped-only-v2,0,0,0,5232220115501351--505003
Balance,High Order,Alliance,657.8125870866004,21.698848881693532,0.3068680637637526,5000,0,0,0,16.2,16.2,equipped-only-v2,0,0,0,5232220115501351--505003
Feral,Tauren,Horde,773.2379675333077,18.311380018350242,0.2589620196771861,5000,0,0,0,15.399999999999999,15.399999999999999,equipped-only-v2,0,0,0,050022-3521002023032213041-053
Feral,Windshaper,Horde,780.9385421058945,18.56370582434104,0.26253044544687515,5000,0,0,0,14.399999999999999,14.399999999999999,equipped-only-v2,0,0,0,050022-3521002023032213041-053
Feral,Night Elf,Alliance,777.5601270886832,18.358550196874223,0.2596291067392678,5000,0,0,0,14.399999999999999,14.399999999999999,equipped-only-v2,0,0,0,050022-3521002023032213041-053
Feral,High Order,Alliance,780.9385421058945,18.56370582434104,0.26253044544687515,5000,0,0,0,14.399999999999999,14.399999999999999,equipped-only-v2,0,0,0,050022-3521002023032213041-053
Elemental,Orc,Horde,546.0236618635628,16.869032311960634,0.23856414279684696,5000,0.3474,0,0,16.4,16.4,equipped-only-v2,0,0,0,5502301500123031-052-05305
Elemental,Tauren,Horde,540.767565200235,16.70855831441055,0.2362946977594114,5000,0.3518,0,0,17.4,17.4,equipped-only-v2,0,0,0,5502301500123031-052-05305
Elemental,Troll,Horde,543.6328378662189,16.512785704238595,0.2335260549549478,5000,0.31228545483379994,0,0,16.4,16.4,equipped-only-v2,0,0,0,5502301500123031-052-05305
Elemental,Windshaper,Horde,544.1388500166123,16.542864248781775,0.2339514298112419,5000,0.356090109356602,0,0,16.4,16.4,equipped-only-v2,0,0,0,5502301500123031-052-05305
Elemental,Dwarf,Alliance,542.0462744949914,16.69988168970994,0.23617199175613915,5000,0.3615,0,0,16.4,16.4,equipped-only-v2,0,0,0,5502301500123031-052-05305
Stormcaller,Orc,Horde,564.9325442133895,16.38897433613693,0.23177509779549435,5000,0.2829,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,550032150010303-055030031004002
Stormcaller,Tauren,Horde,564.5242054390475,16.2063907681253,0.2291929762140092,5000,0.2673,0,0,16.1,16.1,equipped-only-v2,0,0,0,550032150010303-055030031004002
Stormcaller,Troll,Horde,561.9150010841266,16.25726273396412,0.22991241445434757,5000,0.27110727273379964,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,550032150010303-055030031004002
Stormcaller,Windshaper,Horde,563.5750949713695,16.13656757924803,0.22820552720722548,5000,0.3609304954733986,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,550032150010303-055030031004002
Stormcaller,Dwarf,Alliance,560.8512800240412,16.299514703504514,0.2305099475379576,5000,0.296,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,550032150010303-055030031004002
Enhancement,Orc,Horde,816.3804411613428,44.17307074070471,0.6247015573317074,5000,0.2698963631639999,0,0,16.500000000000004,16.500000000000004,equipped-only-v2,0,0,0,420033152-053030031005102251
Enhancement,Tauren,Horde,814.3542075538921,43.80086465966406,0.6194377684536531,5000,0.05046877907879997,0,0,16.700000000000003,16.700000000000003,equipped-only-v2,0,0,0,420033152-053030031005102251
Enhancement,Troll,Horde,814.0482764386966,44.19212945435922,0.6249710882450233,5000,0.18733993992200015,0,0,17.5,17.5,equipped-only-v2,0,0,0,420033152-053030031005102251
Enhancement,Windshaper,Horde,816.6134014750183,43.532710114930964,0.6156454905139178,5000,0.0477589997284,0,0,16.200000000000003,16.200000000000003,equipped-only-v2,0,0,0,420033152-053030031005102251
Enhancement,Dwarf,Alliance,817.8021317377583,43.63814988715463,0.6171366340728403,5000,0.09968073436639999,0,0,17.5,17.5,equipped-only-v2,0,0,0,420033152-053030031005102251
Beast Mastery,Orc,Horde,988.0449236625035,20.124115814112177,0.2845979751508432,5000,1.309674896521599,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,Tauren,Horde,986.6968414048694,21.977401918103805,0.3108073985830687,5000,0.7650652468167998,0,0,24.400000000000002,24.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,Troll,Horde,994.2284973217215,22.244478593145697,0.3145844331434463,5000,0.7714912945006014,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,Windshaper,Horde,996.2135516213523,22.0588560738676,0.3119593343009968,5000,0.5763573855862001,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,Human,Alliance,992.6052297282448,20.337335009691934,0.2876133499323149,5000,0.9668653861249995,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,Dwarf,Alliance,988.2551799161575,22.12885540712699,0.3129492743655219,5000,0.6678506367858,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,Night Elf,Alliance,1000.9571987907832,22.181489030918808,0.31369362621155417,5000,0.5972489875437997,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Beast Mastery,High Order,Alliance,996.2135516213523,22.0588560738676,0.3119593343009968,5000,0.5763573855862001,0,0,23.400000000000002,23.400000000000002,equipped-only-v2,0,0,0,5320001505101251-00531510005
Marksmanship,Orc,Horde,822.5449593529895,27.458858057651867,0.3883268947240901,5000,4.862096783211182,0,0,21.3,21.3,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,Tauren,Horde,807.0048289142696,27.1019384635345,0.38327928941731526,5000,4.644647783658592,0,0,21.8,21.8,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,Troll,Horde,830.0322811141422,28.934772855133357,0.40919948195914474,5000,3.868441192582386,0,0,21.3,21.3,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,Windshaper,Horde,832.5575394122261,29.04877511516425,0.41081171738191347,5000,3.1458024278005987,0,0,20.8,20.8,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,Human,Alliance,825.8228638458792,27.419517598638258,0.38777053661721983,5000,2.2968389983515993,0,0,19,19,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,Dwarf,Alliance,808.2217307280025,26.9147032263178,0.3806313832990553,5000,2.8733939049522017,0,0,19,19,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,Night Elf,Alliance,823.3600371248034,27.160191806112582,0.3841031160885902,5000,4.815454636568778,0,0,21.3,21.3,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Marksmanship,High Order,Alliance,832.5575394122261,29.04877511516425,0.41081171738191347,5000,3.1458024278005987,0,0,20.8,20.8,equipped-only-v2,0,0,0,5-0050552011523051-50005001
Survival,Orc,Horde,1033.404649684198,31.45057246806831,0.44477826128740067,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,Tauren,Horde,1017.5526158652849,31.332514307926854,0.44310866677519206,5000,0,0,0,27.400000000000002,27.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,Troll,Horde,1017.7626895737521,30.84545287234014,0.43622057789603563,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,Windshaper,Horde,1019.7721719486572,30.898778652295718,0.43697471830840867,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,Human,Alliance,1035.2422755880764,31.44261154701096,0.4446656768621178,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,Dwarf,Alliance,1014.1797309986958,30.865827602926608,0.43650872009928643,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,Night Elf,Alliance,1028.6241367137022,31.407005132382274,0.4441621261173641,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Survival,High Order,Alliance,1019.7721719486572,30.898778652295718,0.43697471830840867,5000,0,0,0,26.400000000000002,26.400000000000002,equipped-only-v2,0,0,0,502-0050051-230230230250022151
Arcane,Orc,Horde,716.2267362218099,37.0323750855043,0.5237168709280768,5000,0.1009,0,0,15.000000000000002,15.000000000000002,equipped-only-v2,0,0,0,053005023100311531-03-005500032
Arcane,Troll,Horde,720.1432074540774,36.79472661243006,0.5203560139910884,5000,0.04024636364060001,0,0,11.4,11.4,equipped-only-v2,0,0,0,053005023100311531-03-005500032
Arcane,Undead,Horde,733.5185217756837,37.724451724762545,0.5335043126224829,5000,0.05695,0,0,14,14,equipped-only-v2,0,0,0,053005023100311531-03-005500032
Arcane,Human,Alliance,724.6465441679543,37.71686295748919,0.5333969912464862,5000,0.058,0,0,14.3,14.3,equipped-only-v2,0,0,0,053005023100311531-03-005500032
Arcane,Gnome,Alliance,727.2032134970353,37.00322191408754,0.5233045828240391,5000,0.014,0,0,13.700000000000001,13.700000000000001,equipped-only-v2,0,0,0,053005023100311531-03-005500032
Arcane,High Order,Alliance,722.0380354891889,37.69593245685485,0.5331009892678427,5000,0.07102019805780001,0,0,12.9,12.9,equipped-only-v2,0,0,0,053005023100311531-03-005500032
Fire,Orc,Horde,718.5232385868704,36.18186113150469,0.5116887872407387,5000,7.4836699999999885,0,0,13.100000000000001,13.100000000000001,equipped-only-v2,0,0,0,0501252000002-23450000130133051-003
Fire,Troll,Horde,718.3742121710842,34.12600554669646,0.482614598737576,5000,5.313822729021242,0,0,13.100000000000001,13.100000000000001,equipped-only-v2,0,0,0,0501252000002-23450000130133051-003
Fire,Undead,Horde,732.0188085970523,35.94920512419784,0.5083985344317294,5000,6.896019999999991,0,0,13.100000000000001,13.100000000000001,equipped-only-v2,0,0,0,0501252000002-23450000130133051-003
Fire,Human,Alliance,729.9562071031481,35.78676866499202,0.5061013359954021,5000,6.460869999999993,0,0,13.100000000000001,13.100000000000001,equipped-only-v2,0,0,0,0501252000002-23450000130133051-003
Fire,Gnome,Alliance,730.7053269587191,33.390189169288284,0.4722085837341072,5000,3.2843300000000024,0,0,13,13,equipped-only-v2,0,0,0,0501252000002-23450000130133051-003
Fire,High Order,Alliance,718.8573345790851,32.22752705931599,0.45576605849030577,5000,3.8073652756395844,0,0,13,13,equipped-only-v2,0,0,0,0501252000002-23450000130133051-003
Frost,Orc,Horde,703.2617430180353,29.852403596473753,0.42217674035568536,5000,0.21255,0,0,13,13,equipped-only-v2,0,0,0,050005001-03-0555003321001301251
Frost,Troll,Horde,700.2989007215617,29.580646206531295,0.418333510490368,5000,0.16116272741359997,0,0,11.8,11.8,equipped-only-v2,0,0,0,050005001-03-0555003321001301251
Frost,Undead,Horde,705.3142497378508,29.83906993718275,0.4219881739376314,5000,0.2919,0,0,13.1,13.1,equipped-only-v2,0,0,0,050005001-03-0555003321001301251
Frost,Human,Alliance,707.7813114680819,29.6473832728691,0.4192773151336472,5000,0.1192,0,0,12.200000000000001,12.200000000000001,equipped-only-v2,0,0,0,050005001-03-0555003321001301251
Frost,Gnome,Alliance,715.9902520226683,31.83978200090381,0.4502825152868093,5000,0.00805,0,0,11.099999999999998,11.099999999999998,equipped-only-v2,0,0,0,050005001-03-0555003321001301251
Frost,High Order,Alliance,702.4109009812274,29.670648604645837,0.4196063366109649,5000,0.16254871448040017,0,0,11.8,11.8,equipped-only-v2,0,0,0,050005001-03-0555003321001301251
Retribution,Undead,Horde,1230.9417221542733,45.91827998118208,0.6493825431023269,5000,0.10015874740280005,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,253003-232-052052310012330301
Retribution,Human,Alliance,1217.8665445298348,43.760015496156925,0.6188600740432193,5000,0.05217603984880001,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,253003-232-052052310012330301
Retribution,Dwarf,Alliance,1225.812900840285,44.00507541855487,0.622325744701712,5000,0.053492792323399985,0,0,16.400000000000002,16.400000000000002,equipped-only-v2,0,0,0,253003-232-052052310012330301
Shadow,Troll,Horde,826.1970977688219,17.69026565398714,0.25017813609851564,5000,0,0,0,11.6,11.6,equipped-only-v2,0,0,0,305030001303--504020501201302251
Shadow,Undead,Horde,841.7215880310692,18.096665882990173,0.25592550325459185,5000,0,0,0,11.6,11.6,equipped-only-v2,0,0,0,305030001303--504020501201302251
Shadow,Human,Alliance,825.7403730772004,17.34009100355062,0.24522591870004976,5000,0,0,0,11.6,11.6,equipped-only-v2,0,0,0,305030001303--504020501201302251
Shadow,Dwarf,Alliance,831.9874172947693,17.555180904480096,0.2482677492502893,5000,0,0,0,11.6,11.6,equipped-only-v2,0,0,0,305030001303--504020501201302251
Shadow,Night Elf,Alliance,832.0217006535268,17.576693949453116,0.24857198964997715,5000,0,0,0,11.6,11.6,equipped-only-v2,0,0,0,305030001303--504020501201302251
Shadow,Gnome,Alliance,827.3170133889228,17.51853706487403,0.24774952710080608,5000,0,0,0,11.6,11.6,equipped-only-v2,0,0,0,305030001303--504020501201302251
Smite,Troll,Horde,546.5337313384616,10.306363876046191,0.14575399572256664,5000,0.00014,0,0,8.599999999999998,8.599999999999998,equipped-only-v2,0,0,0,515030031305001031-00505023002-003
Smite,Undead,Horde,555.1625075977151,10.957608400750964,0.15496398411515372,5000,0.0008,0,0,9.799999999999999,9.799999999999999,equipped-only-v2,0,0,0,515030031305001031-00505023002-003
Smite,Human,Alliance,543.6470324972058,10.220936573122748,0.14454587121865375,5000,0,0,0,8.2,8.2,equipped-only-v2,0,0,0,515030031305001031-00505023002-003
Smite,Dwarf,Alliance,543.2886736101713,10.016300450647138,0.14165187942108926,5000,0.0001,0,0,7.999999999999998,7.999999999999998,equipped-only-v2,0,0,0,515030031305001031-00505023002-003
Smite,Night Elf,Alliance,546.6116031591699,10.271961948981291,0.14526747900429712,5000,0,0,0,9.799999999999999,9.799999999999999,equipped-only-v2,0,0,0,515030031305001031-00505023002-003
Smite,Gnome,Alliance,547.6815274630827,10.235326847405057,0.14474938042921684,5000,0.0002,0,0,9.799999999999999,9.799999999999999,equipped-only-v2,0,0,0,515030031305001031-00505023002-003
Combat,Orc,Horde,698.5368604145963,19.626281901622782,0.27755754044232556,5000,0,0,0,25.099999999999998,25.099999999999998,equipped-only-v2,0,0,0,005303103012-32003311201515231
Combat,Troll,Horde,695.1630943656554,19.485627599201994,0.2755683882214295,5000,0,0,0,25.099999999999998,25.099999999999998,equipped-only-v2,0,0,0,005303103012-32003311201515231
Combat,Undead,Horde,718.2415368575257,19.98772645439145,0.2826691383280388,5000,0,0,0,25.099999999999998,25.099999999999998,equipped-only-v2,0,0,0,005303103012-32003311201515231
Combat,Windshaper,Horde,699.7369765054073,19.290659673262724,0.2728111253705188,5000,0,0,0,25.099999999999998,25.099999999999998,equipped-only-v2,0,0,0,005303103012-32003311201515231
Combat,Human,Alliance,699.8947623541417,19.192744829731467,0.2714264003737234,5000,0,0,0,25.099999999999998,25.099999999999998,equipped-only-v2,0,0,0,005303103012-32003311201515231
Combat,Dwarf,Alliance,691.3938979103145,19.44912017103001,0.2750520952209477,5000,0,0,0,25.099999999999998,25.099999999999998,equipped-only-v2,0,0,0,005303103012-32003311201515231
Combat,Night Elf,Alliance,698.937807556964,19.61582761668183,0.2774096945268415,5000,0,0,0,25.099999999999998,25.099999999999998,equipped-only-v2,0,0,0,005303103012-32003311201515231
Combat,Gnome,Alliance,699.1400912624418,20.019410523437298,0.2831172187295969,5000,0,0,0,24.4,24.4,equipped-only-v2,0,0,0,005303103012-32003311201515231
Combat,High Order,Alliance,699.7369765054073,19.290659673262724,0.2728111253705188,5000,0,0,0,25.099999999999998,25.099999999999998,equipped-only-v2,0,0,0,005303103012-32003311201515231
Mutilate,Orc,Horde,705.5523261746143,20.096986453514116,0.2842143080538803,5000,0,0,0,27.400000000000002,27.400000000000002,equipped-only-v2,0,0,0,0053031035140105-302303202014
Mutilate,Troll,Horde,702.2256772703856,19.74642047749581,0.2792565564759638,5000,0,0,0,27.400000000000002,27.400000000000002,equipped-only-v2,0,0,0,0053031035140105-302303202014
Mutilate,Undead,Horde,739.4472825987966,20.760504633120263,0.2935978721386815,5000,0,0,0,27.400000000000002,27.400000000000002,equipped-only-v2,0,0,0,0053031035140105-302303202014
Mutilate,Windshaper,Horde,707.4590232583796,20.149517640967158,0.28495721123131684,5000,0,0,0,27.400000000000002,27.400000000000002,equipped-only-v2,0,0,0,0053031035140105-302303202014
Mutilate,Human,Alliance,701.11890622138,20.188453312818854,0.28550784478324465,5000,0,0,0,26.700000000000003,26.700000000000003,equipped-only-v2,0,0,0,0053031035140105-302303202014
Mutilate,Dwarf,Alliance,700.7186653316503,20.219847900691658,0.28595183130279295,5000,0,0,0,27.400000000000002,27.400000000000002,equipped-only-v2,0,0,0,0053031035140105-302303202014
Mutilate,Night Elf,Alliance,709.2007873625307,20.01587582572555,0.28306723055516847,5000,0,0,0,27.400000000000002,27.400000000000002,equipped-only-v2,0,0,0,0053031035140105-302303202014
Mutilate,Gnome,Alliance,713.4684751063216,19.860748264557927,0.2808733955461573,5000,0,0,0,27.400000000000002,27.400000000000002,equipped-only-v2,0,0,0,0053031035140105-302303202014
Mutilate,High Order,Alliance,707.4590232583796,20.149517640967158,0.28495721123131684,5000,0,0,0,27.400000000000002,27.400000000000002,equipped-only-v2,0,0,0,0053031035140105-302303202014
Subtlety,Orc,Horde,650.2846340452551,16.90708369079533,0.23910227055699718,5000,0,0,0,24.400000000000002,24.400000000000002,equipped-only-v2,0,0,0,115303101104--5320003310013211501
Subtlety,Troll,Horde,651.2433438763888,17.318575594120606,0.24492164486189041,5000,0,0,0,23.600000000000005,23.600000000000005,equipped-only-v2,0,0,0,115303101104--5320003310013211501
Subtlety,Undead,Horde,676.4366813512478,17.923162519627816,0.2534717951587479,5000,0,0,0,23.4,23.4,equipped-only-v2,0,0,0,115303101104--5320003310013211501
Subtlety,Windshaper,Horde,652.4401940592415,17.411266224683484,0.2462324883303598,5000,0,0,0,23.4,23.4,equipped-only-v2,0,0,0,115303101104--5320003310013211501
Subtlety,Human,Alliance,654.4203233543655,17.0574987546423,0.24122946078977317,5000,0,0,0,23.700000000000003,23.700000000000003,equipped-only-v2,0,0,0,115303101104--5320003310013211501
Subtlety,Dwarf,Alliance,645.631140785845,16.572138566912614,0.23436543118854045,5000,0,0,0,23.4,23.4,equipped-only-v2,0,0,0,115303101104--5320003310013211501
Subtlety,Night Elf,Alliance,654.1044335955394,17.587093822141924,0.24871906606001182,5000,0,0,0,23.4,23.4,equipped-only-v2,0,0,0,115303101104--5320003310013211501
Subtlety,Gnome,Alliance,655.6820470712809,17.328386817131413,0.24506039650834394,5000,0,0,0,23.700000000000003,23.700000000000003,equipped-only-v2,0,0,0,115303101104--5320003310013211501
Subtlety,High Order,Alliance,652.4401940592415,17.411266224683484,0.2462324883303598,5000,0,0,0,23.4,23.4,equipped-only-v2,0,0,0,115303101104--5320003310013211501
