Build,Race,Class,DPS,ItemCount,MeanItemLevel,EstimatedBudgetUnits,AssumedCapacityPoints,MeleeHitPercent,SpellHitPercent,WorstHitShortfallPercent,Strength,Agility,Intellect,Spirit,Stamina,AttackPower,RangedAttackPower,SpellPower,SpellDamage,HealingPower,CritRating,HitRating,MP5
balance,Tauren,Druid,661.42,17,65,16.6,539.6,16.4,16.4,0,0,0,213,0,221,0,0,356,0,0,144,104,0
balance,Windshaper,Druid,664.68,17,65,16.6,539.6,16.2,16.2,0,0,0,202,0,221,0,0,351,0,0,148,112,0
balance,Night Elf,Druid,664.44,17,65,16.6,539.6,16.2,16.2,0,0,0,202,0,221,0,0,351,0,0,148,112,0
balance,High Order,Druid,664.68,17,65,16.6,539.6,16.2,16.2,0,0,0,202,0,221,0,0,351,0,0,148,112,0
feral,Tauren,Druid,711.88,16,65,15.598,539.51,24.0,24.0,0,121,205,0,0,229,26,0,0,0,0,203,190,0
feral,Windshaper,Druid,718.61,16,65,15.598,539.51,23.0,23.0,0,121,205,0,0,229,26,0,0,0,0,203,190,0
feral,Night Elf,Druid,715.97,16,65,15.598,539.51,23.0,23.0,0,121,205,0,0,229,26,0,0,0,0,203,190,0
feral,High Order,Druid,718.61,16,65,15.598,539.51,23.0,23.0,0,121,205,0,0,229,26,0,0,0,0,203,190,0
elemental,Orc,Shaman,545.59,17,65,16.6,539.6,16.4,16.4,0,0,0,203,0,212,24,0,344,0,0,158,104,0
elemental,Tauren,Shaman,540.29,17,65,16.6,539.6,17.4,17.4,0,0,0,213,0,221,0,0,356,0,0,144,104,0
elemental,Troll,Shaman,542.92,17,65,16.6,539.6,16.4,16.4,0,0,0,213,0,221,0,0,356,0,0,144,104,0
elemental,Windshaper,Shaman,544.85,17,65,16.6,539.6,16.4,16.4,0,0,0,213,0,221,0,0,356,0,0,144,104,0
elemental,Dwarf,Shaman,541.57,16,65,15.6,539.6,16.4,16.4,0,15,0,213,0,220,0,0,350,0,0,144,104,0
stormcaller,Orc,Shaman,549.62,17,65,16.6,539.6,16.4,16.4,0,0,0,116,0,221,0,0,299,0,0,186,154,0
stormcaller,Tauren,Shaman,548.63,17,65,16.6,539.6,16.1,16.1,0,0,0,129,0,221,0,0,303,0,0,182,141,0
stormcaller,Troll,Shaman,546.31,17,65,16.6,539.6,16.4,16.4,0,0,0,116,0,221,0,0,299,0,0,186,154,0
stormcaller,Windshaper,Shaman,547.16,17,65,16.6,539.6,16.4,16.4,0,0,0,116,0,221,0,0,299,0,0,186,154,0
stormcaller,Dwarf,Shaman,545.38,16,65,15.6,539.6,16.4,16.4,0,15,0,116,0,220,0,0,293,0,0,186,154,0
enhancement,Orc,Shaman,805.29,16,65,15.6,539.594,15.6,15.6,0.4,149,4,145,0,243,26,0,89,0,0,182,156,0
enhancement,Tauren,Shaman,798.8,16,65,15.6,539.594,15.0,15.0,1.0,136,4,174,0,233,26,0,121,0,0,168,140,0
enhancement,Troll,Shaman,803.91,16,65,15.6,539.594,16.4,16.4,0,169,4,172,0,242,26,0,53,0,0,168,164,6
enhancement,Windshaper,Shaman,804.57,16,65,15.6,539.594,14.6,14.6,1.4,133,4,170,0,232,26,0,128,0,0,168,146,0
enhancement,Dwarf,Shaman,808.13,16,65,15.6,539.594,16.7,16.7,0,159,14,168,0,238,26,0,84,0,0,164,167,0
beast_mastery,Orc,Hunter,993.24,17,65,16.6,532.594,23.4,23.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
beast_mastery,Tauren,Hunter,990.34,17,65,16.6,532.594,24.4,24.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
beast_mastery,Troll,Hunter,997.4,17,65,16.6,532.594,23.4,23.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
beast_mastery,Windshaper,Hunter,999.59,17,65,16.6,532.594,23.4,23.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
beast_mastery,Human,Hunter,997.44,17,65,16.6,532.594,23.4,23.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
