Build,Races,AverageDPS,AverageItemCount,AverageMeanItemLevel,AverageEstimatedBudgetUnits,AverageAssumedCapacityPoints,AverageMeleeHitPercent,AverageSpellHitPercent,AverageWorstHitShortfallPercent,AverageStrength,AverageAgility,AverageIntellect,AverageSpirit,AverageStamina,AverageAttackPower,AverageRangedAttackPower,AverageSpellPower,AverageSpellDamage,AverageHealingPower,AverageCritRating,AverageHitRating,AverageMP5
affliction,5,835.49,17,65,16.6,539.6,16.32,16.32,0,0,0,173.8,0,208.8,4.8,0,271.8,0,0,192.2,103.2,0
arcane,6,723.963,17,65,16.6,539.6,13.55,13.55,0,0,0,167.833,0,209,4,0,319.833,0,0,178.167,125.5,0
arcane_frost,6,746.82,17,65,16.6,539.599,13.067,13.067,0,0,0,183.667,0,209,4,0,332.167,0,0,170.167,120.667,0
arms,10,829.219,16,65,15.598,539.51,10.99,10.99,0,302.2,175,0,0,227,32,0,0,0,0,160.8,108.9,0
balance,4,657.16,17,65,16.6,539.6,16.25,16.25,0,0,0,204.75,0,221,0,0,352.25,0,0,147,110,0
beast_mastery,8,992.903,17,65,16.6,532.594,23.525,23.525,0,0,213,0,0,197,80,0,0,0,0,241,234,0
combat,9,700.087,17,65,16.6,532.594,25.022,25.022,0,50.778,207.778,0,0,197,80,0,0,0,0,228.556,210.222,0
demonology,5,899.284,17,65,16.6,539.6,16.18,16.18,0,0,0,141,0,210,4.8,0,310.8,0,0,183.2,141.8,0
destruction,5,828.956,17,65,16.6,539.599,16.18,16.18,0,0,0,200.2,0,209.4,4.8,0,337.8,0,0,162.8,101.8,0
ds_ruin,5,799.972,17,65,16.6,539.6,16.24,16.24,0,0,0,186,0,209.4,4.8,0,316.6,0,0,173.4,102.4,0
elemental,5,543.322,16.8,65,16.4,539.6,16.6,16.6,0,3,0,211,0,219,4.8,0,352.4,0,0,146.8,104,0
enhancement,5,815.838,16,65,15.6,539.594,16.88,16.88,0,170.4,7.6,84.8,0,221.8,26,0,103.4,0,0,194.4,166.8,0
feral,4,778.17,16,65,15.598,539.51,14.65,14.65,0,305,186,0,0,229,26,0,0,0,0,158,104,0
fire,6,724.74,17,65,16.6,539.6,13.067,13.067,0,0,0,151.833,0,209,4,0,197.333,0,0,204,120.667,0
frost,6,705.842,17,65,16.6,539.6,12.167,12.167,0,0,0,177.833,0,209,4,0,320.833,0,0,176,111.667,0
fury,10,923.255,17,65,16.6,532.594,19.64,19.64,0,233.6,53.6,0,0,197,80,0,0,0,0,220.4,195.4,0
fury_2h,10,830.109,16,65,15.598,539.51,13.5,10.5,0,305,182,0,0,227,32,0,0,0,0,158,104,0
fury_sunder,10,886.205,17,65,16.6,532.594,21.72,21.72,0,223.1,27,0,0,198,77.6,0,0,0,0,229.5,216.2,0
marksmanship,8,822.761,17,65,16.6,532.594,20.663,20.663,0,0,178.25,38.625,0,197,80,0,48.125,0,0,229.875,195.375,0
mutilate,9,709.629,17,65,16.6,532.594,27.322,27.322,0,1.778,212.778,14,0,209,32,0,0,0,0,242.556,233.222,0
pet_melee,8,1035.471,17,65,16.6,532.594,26.438,26.438,0,86.5,128.25,0,0,197,80,0,0,0,0,240.5,233.125,0
retribution,3,1224.873,16,65,15.6,539.594,16.4,16.4,0,146,4,114,0,220,26,0,138,0,0,186,144,0
retribution_physical,3,1081.42,16,65,15.6,539.594,16.4,16.4,0,284,130,0,0,229,26,0,0,0,0,179,144,0
shadow,6,830.832,17,65,16.6,539.6,11.6,11.6,0,0,8,131,0,214,0,0,125,0,0,231,106,0
smite,6,547.153,17,65,16.6,539.6,9.033,9.033,0,0,0,221.833,0,213,0,0,356.667,0,0,144,90.333,0
stormcaller,5,563.16,16.8,65,16.4,539.6,16.34,16.34,0,3,0,118.6,0,220.8,0,0,298.6,0,0,185.2,151.4,0
subtlety,9,654.741,17,65,16.6,532.589,23.6,23.6,0,17.111,211.222,7,0,203,56,0,0,0,0,237.889,226,0
survival,8,1023.286,17,65,16.6,532.594,26.525,26.525,0,0,213,0,0,197,80,0,0,0,0,241,234,0
