build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,499.42965444388733,15.611741081208779,0.2207833596930266,5000,0.012068181900999998,0.5199999999999996,0.5199999999999996,16,16,linear-v1,5.199999999999996,419.65714285714284,0,5232220115501351--505003
Balance,Windshaper,Horde,497.5225463405439,15.573148262487944,0.2202375748165745,5000,0.018924131638199997,1.5199999999999996,1.5199999999999996,16,16,linear-v1,15.199999999999996,419.65714285714284,-2.220446049250313e-15,5232220115501351--505003
Balance,Night Elf,Alliance,499.5039551958792,15.56586584068854,0.2201345858198181,5000,0.01303545464639999,1.5199999999999996,1.5199999999999996,16,16,linear-v1,15.199999999999996,419.65714285714284,-2.220446049250313e-15,5232220115501351--505003
Balance,High Order,Alliance,497.5225463405439,15.573148262487944,0.2202375748165745,5000,0.018924131638199997,1.5199999999999996,1.5199999999999996,16,16,linear-v1,15.199999999999996,419.65714285714284,-2.220446049250313e-15,5232220115501351--505003
Feral,Tauren,Horde,569.8095836642973,14.064606889794323,0.19890357812993206,5000,0,-0.6799999999999997,-0.6799999999999997,9,9,linear-v1,-6.799999999999997,408,0,050022-3521002023032213041-053
Feral,Windshaper,Horde,570.6229975318356,13.829095849883343,0.19557294906262507,5000,0,0.3200000000000003,0.3200000000000003,9,9,linear-v1,3.200000000000003,408,1.1102230246251565e-16,050022-3521002023032213041-053
Feral,Night Elf,Alliance,569.834300549047,13.977854339122498,0.19767671179262652,5000,0,0.3200000000000003,0.3200000000000003,9,9,linear-v1,3.200000000000003,408,1.1102230246251565e-16,050022-3521002023032213041-053
Feral,High Order,Alliance,570.6229975318356,13.829095849883343,0.19557294906262507,5000,0,0.3200000000000003,0.3200000000000003,9,9,linear-v1,3.200000000000003,408,1.1102230246251565e-16,050022-3521002023032213041-053
Elemental,Orc,Horde,432.84801131163874,13.114110329727488,0.18546152686757714,5000,0.4531,1.7200000000000006,1.7200000000000006,16,16,linear-v1,17.200000000000006,455.3142857142857,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Tauren,Horde,432.8322542901227,13.124296495477765,0.18560558100510335,5000,0.4572,0.7200000000000006,0.7200000000000006,16,16,linear-v1,7.200000000000006,455.3142857142857,0,5502301500123031-0500001-053050001
Elemental,Troll,Horde,430.64667014781793,13.358973618745377,0.18892441671014096,5000,0.49582818198840134,1.7200000000000006,1.7200000000000006,16,16,linear-v1,17.200000000000006,455.3142857142857,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Windshaper,Horde,431.0387829192055,12.93434707126111,0.18291929048618183,5000,0.49432228940900375,1.7200000000000006,1.7200000000000006,16,16,linear-v1,17.200000000000006,455.3142857142857,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Dwarf,Alliance,432.515496162312,13.14188319567976,0.1858542945045339,5000,0.4979,1.7200000000000006,1.7200000000000006,16,16,linear-v1,17.200000000000006,455.3142857142857,8.881784197001252e-16,5502301500123031-0500001-053050001
Stormcaller,Orc,Horde,456.58994638517015,14.211072579352935,0.20097491577589321,5000,1.6478,6.720000000000001,6.720000000000001,16,16,linear-v1,67.2,455.3142857142857,7.105427357601002e-15,550032150010303-055030031004002
