build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,576.2960683117542,16.843834040981367,0.23820778543117463,5000,0.012740909178599994,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,Windshaper,Horde,573.603534012428,16.879039834113918,0.2387056705323962,5000,0.009014662739199998,7.1,7.1,16,16,linear-v1,71,512.4285714285713,-1.9539925233402755e-14,5232220115501351--505003
Balance,Night Elf,Alliance,576.2528691796259,16.819368054591035,0.2378617841334742,5000,0.012016363762799994,7.1,7.1,16,16,linear-v1,71,512.4285714285713,-1.9539925233402755e-14,5232220115501351--505003
Balance,High Order,Alliance,573.603534012428,16.879039834113918,0.2387056705323962,5000,0.009014662739199998,7.1,7.1,16,16,linear-v1,71,512.4285714285713,-1.9539925233402755e-14,5232220115501351--505003
Feral,Tauren,Horde,586.4413837348286,14.428881726375657,0.20405520227317772,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,407,-5.551115123125783e-17,050022-3521002023032213041-053
Feral,Windshaper,Horde,587.6778002980684,14.18359739103938,0.20058635793647536,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Feral,Night Elf,Alliance,587.4547534641413,14.492114468114412,0.20494944828270753,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,421,0,050022-3521002023032213041-053
Feral,High Order,Alliance,587.6778002980684,14.18359739103938,0.20058635793647536,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Elemental,Orc,Horde,496.6475780053704,14.488140515983575,0.20489324811271103,5000,0.1035,5.1,5.1,16,16,linear-v1,51,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Tauren,Horde,496.43247854530046,14.539485839447448,0.20561938064078145,5000,0.1031,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
