Build,Race,DPS,TPS,DTPS,TMI,ModeledDeathProbability,MultiLeastTargetTPS,MultiTargetTPS
Protection Warrior,Orc,692.9091263273745,1379.4284275063535,501.26186341375063,52.45846904798037,0,57.43186593016763,"[1054.8466172578333, 293.9335167364733, 57.43186593016763]"
Protection Warrior,Tauren,691.4050323251721,1375.6025783695106,488.4506833668793,49.064989115474965,0,58.75868718101496,"[1059.3829306914386, 293.7789221283447, 58.75868718101496]"
Protection Warrior,Troll,694.0640876426351,1382.1265569049947,502.8831094975694,53.028857413303236,0,58.1130026211942,"[1053.474796177738, 293.2757585209739, 58.1130026211942]"
Protection Warrior,Undead,713.6858985314859,1350.7408584953503,492.76269212164954,52.711677849080935,0,60.65431291527199,"[1040.187800189823, 294.89513573888297, 60.65431291527199]"
Protection Warrior,Windshaper,696.1219060563675,1326.8466271470338,500.51165777760696,53.268347525152144,0,56.95250072095141,"[1012.5061338763346, 282.97414990511515, 56.95250072095141]"
Protection Warrior,Human,704.1064676467229,1338.3630419802369,504.54049953867366,53.18221551457488,0,56.72373176231767,"[1022.0936694882134, 284.3007399967248, 56.72373176231767]"
Protection Warrior,Dwarf,694.4090826096043,1382.4795382805178,502.0053843597458,52.80644760441719,0.0002,58.080948885184895,"[1055.8941548656267, 293.82739036377393, 58.080948885184895]"
Protection Warrior,Night Elf,691.5561870051959,1319.3369403077756,488.9127782542957,52.501440130452764,0,57.38462467568643,"[1014.1413297205136, 285.14980638976704, 57.38462467568643]"
Protection Warrior,Gnome,698.2302182159493,1328.6172098133934,490.1027538118612,52.31850947914945,0,56.78767791452532,"[1021.3960363605012, 286.15125491631204, 56.78767791452532]"
Protection Warrior,High Order,696.1219060563675,1326.8466271470338,500.51165777760696,53.268347525152144,0,56.95250072095141,"[1012.5061338763347, 282.97414990511515, 56.95250072095141]"
Protection Paladin,Undead,468.0081545339699,704.0441788057892,763.0886502084948,88.41247057360592,0.0132,212.31308452557536,"[753.0928456288391, 217.71805223270758, 212.31308452557536]"
Protection Paladin,Human,450.49392757527073,688.8874448470731,761.7532637609047,88.70983062002632,0.0158,211.19580067146126,"[738.0282107824717, 216.5795899605074, 211.19580067146126]"
Protection Paladin,Dwarf,443.01518712504674,678.6139246715313,763.5619500362309,88.32242877064503,0.0164,209.71895765316833,"[726.5692695005223, 215.04576572664706, 209.71895765316833]"
Bear,Tauren,640.9458991132585,1708.2960597746755,734.310151923955,73.26253509572977,0.0008,211.84914621336173,"[1330.258660408907, 211.86919092261923, 211.84914621336173]"
Bear,Windshaper,646.4542971098534,1720.3865971691578,734.9808810877377,78.54222336951032,0.0044,211.94176430366304,"[1343.6291416166764, 211.94176430366304, 211.9775105192998]"
Bear,Night Elf,646.2541128047225,1719.345416135394,719.2915528166909,78.01350408570073,0.0064,220.93668215250472,"[1358.588981950786, 220.94543805356582, 220.937059313671]"
Bear,High Order,646.4542971098534,1720.3865971691578,734.9808810877377,78.54222336951032,0.0044,211.941764303663,"[1343.629141616676, 211.941764303663, 211.97751051929976]"
