ID,ItemLevel,Cloth,Leather,Mail,Plate
1,1,18.52000045776,108.66000366211,241.63000488281,271.57998657227
2,2,31.11000061035,137.9700012207,291.17999267578,307.04998779297
3,3,42.81000137329,165.36000061035,343.80999755859,342.51998901367
4,4,53.63000106812,192.86999511719,393.51000976563,377.98999023438
5,5,65.33000183105,218.16999816895,439.14999389648,413.45999145508
6,6,76.15000152588,244.88000488281,484.94000244141,448.92999267578
7,7,87.84999847412,268.75,533.47998046875,484.39999389648
8,8,98.66999816895,295.63000488281,579.27001953125,519.86999511719
9,9,109.48000335693,320.92001342773,625.05999755859,555.34002685547
10,10,120.30000305176,343.2200012207,673.60998535156,590.80999755859
11,11,131.11000061035,363.95999145508,719.28002929688,626.28002929688
12,12,141.92999267578,386.10998535156,765.17999267578,661.75
13,13,153.63000488281,405.4700012207,807.86999511719,697.21997070313
14,14,164.44000244141,427.5,853.53997802734,732.69000244141
15,15,174.36999511719,434.66000366211,899.42999267578,768.15997314453
16,16,181.38999938965,444.66000366211,945.76000976563,803.63000488281
17,17,189.91999816895,454.66000366211,992.10998535156,839.09997558594
18,18,198.19000244141,464.66000366211,1009.5800170898,874.57000732422
19,19,204.53999328613,474.66000366211,1028.5799560547,910.03997802734
20,20,210.69999694824,484.66000366211,1047.5799560547,945.51000976563
21,21,217.49000549316,494.66000366211,1066.5799560547,980.97998046875
22,22,224.88999938965,504.66000366211,1085.5799560547,1016.450012207
23,23,230.5,514.65997314453,1104.5799560547,1051.9200439453
24,24,236.72999572754,524.65997314453,1123.5799560547,1087.3900146484
25,25,242.02000427246,534.65997314453,1142.5799560547,1122.8599853516
26,26,247.63999938965,544.65997314453,1161.5799560547,1158.3299560547
27,27,253.83999633789,554.65997314453,1180.5799560547,1193.8000488281
28,28,259.14001464844,564.65997314453,1199.5799560547,1229.2700195312
29,29,263.55999755859,574.65997314453,1218.5799560547,1264.7399902344
30,30,267.85998535156,584.65997314453,1237.5799560547,1300.2099609375
31,31,273.44000244141,594.65997314453,1256.5799560547,1335.6800537109
32,32,277.48999023438,604.65997314453,1275.5799560547,1371.1500244141
33,33,282.10998535156,614.65997314453,1294.5799560547,1406.6199951172
34,34,286.60998535156,624.65997314453,1313.5799560547,1442.0899658203
